_id,year,inam,type,region,exch,branch,foot,title,vols,volcount,ebooks,totexp,explm,exponetime,expongoing,expcollsup,totsal,salprf,salnprf,salstud,opexp,fringedol,fringepct,expbibue,totstfx,prfstf,nprfstf,studast,totstf,grppres,sample1,presptcp,sample2,reftrans,sample3,initcirc,item,regsearches,fedsearches,illtot,ilbtot,gatecount,phdawd,phdfld,fac,totstu,totpt,gradstu,gradpt
Library number (orig instno),Year,Library name,Type,Region,Canadian exchange rate,,,Titles held June 30 - Now includes all formats,Volumes held June 30,Basis of volume count is Physical or Bibliographic (Y/N),Electronic books,Total Library Expenditures,Total Library Materials Expenditures,One-time resource purchases,"Ongoing resource purchases (e.g. subscriptions, annual license fees)",Collection support,Total Salaries and Wages (Excluding fringe benefits),Professional staff,Support staff,Student assistants,Other operating expenditures,Fringe Benefits,Official designated percent,Consortia/Networks/Bibliographic Utilities Expenditures from External Sources,Total Staff FTE,"Professional staff, FTE","Support staff, FTE","Student assistants, FTE",Total staff,Number of library presentations to groups,Is the library presentations figure based on sampling?,Number of total participants in group presentations reported in line 14,Is the total participants figure based on sampling?,Number of reference transactions,Is the reference transactions figure based on sampling?,Number of initial circulations,Number of successful full-text article requests (journals),Number of regular searches (databases),Number of federated searches (databases),Total number of filled requests provided to other libraries,Total number of filled requests received from other libraries or providers,Annual gate count,Number of Doctor's Degrees awarded in FY2014-15,Number of fields in which Doctor's Degrees can be awarded,Number of full-time instructional faculty in FY2014-15,"Full-time students, undergraduate and graduate","Part-time students, undergraduate and graduate",Full-time graduate students,Part-time graduate students
7100,2018,RICE,P,7,1,0,1,3156397,2999850,1,168632,20074941,12873578,3593862,8716525,563191,6265165,4710121,1398153,156891,936198,1746966,28.6,,115,64,41,10,105,217,0,2278,0,,0,66952,,,,14452,10921,603382,207,27,680,6697,325,2781,240
7900,2018,SUNY-BUFFALO,S,2,1,0,1,3139888,4352135,1,968597,21107082,10207858,943503,9039253,225102,9257511,7011414,1447724,798373,1641713,5072944,59.97,33130,160,92,29,39,121,1948,0,16658,0,14054,0,62871,3044674,4339596,101770,26445,36469,3346303,1096,101,1283,25653,4995,6200,3428
5850,2018,NORTH CAROLINA STATE,S,5,1,0,1,3099984,5273930,1,1211885,36047384,12563347,2293558,9199604,1070185,14573308,10017014,3553682,1002612,8910729,4209474,33,,259,134,82,43,216,1109,0,21550,0,32339,0,72655,4174440,6430770,1094341,18122,24201,2542366,633,60,1732,27415,7017,6031,4251
8700,2018,TULANE,P,7,1,1,1,3093448,4558474,1,1234550,19881137,12991515,2368518,9832779,790218,5627936,3208633,2272974,146329,1261686,1263499,20,454385,133,49,64,20,113,666,0,11418,0,14018,0,65053,1163148,2927263,12226333,10475,6571,1233126,924,89,1536,14812,2636,6702,1527
6400,2018,OREGON,S,9,1,1,1,3056174,4286873,0,752636,18598047,7173701,993052,5788310,392339,9074670,4666593,3150625,1257452,2349676,6131972,72.3,,213,80,74,59,154,641,0,12905,0,28834,0,104356,3048252,2763458,983219,42603,41152,1540866,298,45,1131,20944,1943,3143,404
5500,2018,NEBRASKA,S,4,1,0,1,3033176,3031601,0,727811,17543752,8210691,609566,7601125,,7726880,3713839,3289816,723225,1606181,2214497,30,,170,45,89,36,134,280,0,7022,0,14684,1,84188,1951257,2395027,12027785,25625,24395,1484055,398,47,1386,22267,3820,2733,2400
7000,2018,QUEEN'S,C,10,1.27,0,1,3011156,3143930,0,666877,16420180.31,8531547.24,633981.1,7390697.64,506868.5,6831382.68,3920433.86,2645372.44,265576.38,1057250.39,1892537.01,,,116,42,61,13,103,1184,0,17615,0,16432,0,83750,2657700,3320008,167524,5747,5539,1446385,221,42,769,24536,3736,4315,729
3200,2018,HAWAII,S,9,1,0,1,2979605,3134471,0,462721,19874398,8926933,479458,8005600,441875,10004334,6700334,2409269,894731,943131,1334916,61.56,,192,92,59,41,151,668,0,9308,0,11131,0,74319,1439678,2240360,686,4961,21423,1548014,379,58,1613,13940,4384,3238,2205
8950,2018,VCU,S,5,1,1,1,2942230,3186186,0,1191535,22401436,12316292,1844251,9804391,667650,8262213,4603260,3198482,460471,1822931,2562205,38.2,645086,188,68,85,35,153,1625,0,55165,0,12932,0,55807,2135829,4349159,0,21669,10006,2467522,326,42,2338,27865,5604,5102,1925
2100,2018,CONNECTICUT,S,1,1,1,1,2940066,3675627,0,943599,23106540,12783273,899453,10693287,1190533,9232616,4848539,3794722,589355,1090651,5343246,67.3,928834,155,58,53,44,111,651,0,12067,0,10936,0,72885,4870856,3679388,1079343,23909,32513,1673365,958,83,2003,29447,4149,6938,2813
