node,url,rank,label,include
rochester_library,https://library.rochester.edu/,0,home,TRUE
rockefeller_library,https://www.rockefeller.edu/markus-library/,0,home,TRUE
rowan_library,https://www.lib.rowan.edu/,0,home,TRUE
rpi_library,https://library.rpi.edu/,0,home,TRUE
rutgers_library,https://www.libraries.rutgers.edu/,0,home,TRUE
sandiego_library,https://www.sandiego.edu/library/,0,home,TRUE
sc_library,http://library.sc.edu/,0,home,TRUE
scsb_library,https://www.library.ucsb.edu/,0,home,TRUE
sdstate_library,https://www.sdstate.edu/hilton-m-briggs-library,0,home,TRUE
sdsu_library,https://library.sdsu.edu/,0,home,TRUE
sfpl,https://sfpl.org/,0,home,TRUE
sfu_library,https://www.lib.sfu.ca/,0,home,TRUE
shu_library,https://library.shu.edu/library,0,home,TRUE
sil,http://www.sil.si.edu/,0,home,TRUE
siu_library,https://lib.siu.edu/,0,home,TRUE
slpl,https://www.slpl.org/,0,home,TRUE
slu_library,http://lib.slu.edu/,0,home,TRUE
smartmuseum,https://smartmuseum.uchicago.edu/,0,home,TRUE
smu_library,https://www.smu.edu/libraries,0,home,TRUE
southalabama_library,https://www.southalabama.edu/libraries/,0,home,TRUE
sparc,https://sparcopen.org/,0,home,TRUE
stanford_library,https://library.stanford.edu/,0,home,TRUE
stevens_library,https://library.stevens.edu/,0,home,TRUE
stonybrook_library,http://www.library.stonybrook.edu/,0,home,TRUE
syr_library,https://library.syr.edu/,0,home,TRUE
tamu_library,https://library.tamu.edu/,0,home,TRUE
tamucc_library,https://library.tamucc.edu/,0,home,TRUE
tamuk_library,http://lib.tamuk.edu/,0,home,TRUE
tcu_library,https://library.tcu.edu/,0,home,TRUE
tec_library,https://biblioteca.tec.mx/,0,home,TRUE
temple_library,https://library.temple.edu/,0,home,TRUE
tntech_library,https://www.tntech.edu/library/,0,home,TRUE
tsl,https://www.tsl.texas.gov/,0,home,TRUE
ttu_library,https://library.ttu.edu/,0,home,TRUE
tufts_library,https://tischlibrary.tufts.edu/use-library/,0,home,TRUE
tulane_library,https://library.tulane.edu/,0,home,TRUE
txstate_library,https://www.library.txstate.edu/,0,home,TRUE
ua_library,https://www.lib.ua.edu/,0,home,TRUE
uab_library,https://library.uab.edu/,0,home,TRUE
uaf_library,http://library.uaf.edu/,0,home,TRUE
uah_library,https://www.uah.edu/library,0,home,TRUE
uakron_library,https://www.uakron.edu/libraries/,0,home,TRUE
ualberta_library,https://www.library.ualberta.ca/,0,home,TRUE
ualr_library,https://ualr.edu/library/,0,home,TRUE
uanl_library,https://www.dgb.uanl.mx/,0,home,TRUE
uark_library,https://libraries.uark.edu/,0,home,TRUE
